,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1392619046999371777,1392619046999371777,2021-05-13 02:13:49 Jerusalem Daylight Time,2021-05-13,02:13:49,300,17061263,netanyahu,Benjamin Netanyahu,,"The citizens of Israel - who will live in the Home Front Command guidelines, both life saving - keep yourselves. I am proud of your steadfastness and the IDF that continues to attack in all power at this hour. Together we will win! ",iw,[],[],[],2389,790,5968,[],[],https://twitter.com/netanyahu/status/1392619046999371777,False,,0,,,,,,,,[],,,,
1,1392606268989317123,1392606268989317123,2021-05-13 01:23:02 Jerusalem Daylight Time,2021-05-13,01:23:02,300,17061263,netanyahu,Benjamin Netanyahu,,I talked to the phone with the US President Joe Biden and I thought of the American backup to Israel's right to self-defense. I said that Israel would continue to act in order to harm the military capabilities of Hamas and the other organizational organizations operating in the Gaza Strip. ,iw,[],[],[],791,436,3556,[],[],https://twitter.com/netanyahu/status/1392606268989317123,False,,0,,,,,,,,[],,,,
2,1392588789491568644,1392588789491568644,2021-05-13 00:13:35 Jerusalem Daylight Time,2021-05-13,00:13:35,300,17061263,netanyahu,Benjamin Netanyahu,,"I wish to send condolences from the depth of Libby, on behalf of all Israeli citizens, to the Aviv family of Eido, 6, from a rocket today in Sderot. We all pray for peace of his mother and sister who were wounded tonight. This is the murder of a low carpeted by the Hamas terrorist organization. They paid a heavy price and they will pay a heavy price. https://t.co/tyubus1mld ",iw,[],[],['https://pbs.twimg.com/media/E1N4Hj0XMAQSp1v.jpg'],1055,551,3520,[],[],https://twitter.com/netanyahu/status/1392588789491568644,False,,1,https://pbs.twimg.com/media/E1N4Hj0XMAQSp1v.jpg,,,,,,,[],,,,
3,1392585889923076096,1392585889923076096,2021-05-13 00:02:03 Jerusalem Daylight Time,2021-05-13,00:02:03,300,17061263,netanyahu,Benjamin Netanyahu,,"What happens in Israeli cities in recent days is unbearable. We will not get anarchy. Let's clung together to do the task we needed as citizens of our country - to respond to the broadcasts, eliminate this anarchy and save and rehabilitate the security and quiet we all deserve. https://t.co/xouycft9a ",iw,[],[],[],1386,520,2784,[],[],https://twitter.com/netanyahu/status/1392585889923076096,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1392585620212551684/pu/img/eURGcFFikoh2Rjy0.jpg,,,,,,,[],,,,
4,1392526729042960384,1392526729042960384,2021-05-12 20:06:58 Jerusalem Daylight Time,2021-05-12,20:06:58,300,17061263,netanyahu,Benjamin Netanyahu,,"I have now talked on the phone with the US Secretary of State, Tony in Linnan. I thanked him for American support thanks to Israel's self-defense, the right to secretary Secretary returned to it in our conversation. ",iw,[],[],[],2885,1023,7340,[],[],https://twitter.com/netanyahu/status/1392526729042960384,False,,0,,,,,,,,[],,,,
5,1392517963388014597,1392517963388014597,2021-05-12 19:32:08 Jerusalem Daylight Time,2021-05-12,19:32:08,300,17061263,netanyahu,Benjamin Netanyahu,,Those who shoot about us - demo in his head. Well done to the IDF. https://t.co/sx9pszuuu ,iw,[],[],[],1766,1599,6262,[],[],https://twitter.com/netanyahu/status/1392517963388014597,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1392517900750229505/pu/img/LCZWAqFuy4mtd3Mg.jpg,,,,,,,[],,,,
6,1392509694560845829,1392509694560845829,2021-05-12 18:59:17 Jerusalem Daylight Time,2021-05-12,18:59:17,300,17061263,netanyahu,Benjamin Netanyahu,,"With the chief of staff and the commander of the Air Force in the pit in the corner towards the continuation of our activity. In defense and attack - we will keep security of Israel 🇮🇱 (Photo: Haim, Gan, https://t.co/kcwgc1mxhy ",iw,[],[],"['https://pbs.twimg.com/media/E1MwLpyWQAETblH.jpg', 'https://pbs.twimg.com/media/E1MwLpyWEAQU3JZ.jpg']",1003,421,3277,[],[],https://twitter.com/netanyahu/status/1392509694560845829,False,,1,https://pbs.twimg.com/media/E1MwLpyWQAETblH.jpg,,,,,,,[],,,,
7,1392500917988118536,1392500917988118536,2021-05-12 18:24:24 Jerusalem Daylight Time,2021-05-12,18:24:24,300,17061263,netanyahu,Benjamin Netanyahu,,Been liquidated. Those who hurt us - demo in his head. Salutes our security forces. Continue in all power for security for Israel. https://t.co/br2kk9lpac ,iw,[],[],"['https://pbs.twimg.com/media/E1MoM4eXoAYwVgf.jpg', 'https://pbs.twimg.com/media/E1MoM4ZX0AwrxjO.jpg', 'https://pbs.twimg.com/media/E1MoM4hWYAcNTEL.jpg', 'https://pbs.twimg.com/media/E1MoM4gXsAEnYgl.jpg']",874,699,4432,[],[],https://twitter.com/netanyahu/status/1392500917988118536,False,,1,https://pbs.twimg.com/media/E1MoM4eXoAYwVgf.jpg,,,,,,,[],,,,
8,1392490435411591176,1392490435411591176,2021-05-12 17:42:45 Jerusalem Daylight Time,2021-05-12,17:42:45,300,17061263,netanyahu,Benjamin Netanyahu,,"Visiting the sweet Orin who is hospitalized in Wolfson Hospital after a rocket fall. Thank you for physicians and doctors on sacred work. Shlomo Oran medicine and all the wounded. We are all about you ❤️🇮🇱 (Photo: Haim, GP, https://t.co/lm2opsen9e ",iw,[],[],['https://pbs.twimg.com/media/E1MeqnaWYAE6r0D.jpg'],924,703,4877,[],[],https://twitter.com/netanyahu/status/1392490435411591176,False,,1,https://pbs.twimg.com/media/E1MeqnaWYAE6r0D.jpg,,,,,,,[],,,,
9,1392484392073895939,1392484389863542786,2021-05-12 17:18:44 Jerusalem Daylight Time,2021-05-12,17:18:44,300,17061263,netanyahu,Benjamin Netanyahu,,We will continue to fight all power against terrorists in Gaza. Those who hurt us - demo in his head. ,iw,[],[],[],313,175,1508,[],[],https://twitter.com/netanyahu/status/1392484392073895939,False,,0,,,,,,,,[],,,,
