id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1393701215041642496,1393701215041642496,2021-05-16 01:53:58 Jerusalem Daylight Time,2021-05-16,01:53:58,+0300,17061263,netanyahu,Benjamin Netanyahu,,"This past week, millions of Israelis were forced into bomb shelters as missiles rained down on our cities.  Several Israelis have been killed. Many more have been wounded. You know and I know, no country would tolerate this. Israel will not tolerate this.  https://t.co/INgjR91BS4",en,[],[],[],7433,2655,11206,[],[],https://twitter.com/netanyahu/status/1393701215041642496,False,,1,https://pbs.twimg.com/media/E1dr2fjXIAMCaf6.jpg,,,,,,,[],,,,
1393691936192712707,1393691936192712707,2021-05-16 01:17:05 Jerusalem Daylight Time,2021-05-16,01:17:05,+0300,17061263,netanyahu,Benjamin Netanyahu,,🇺🇸🇦🇱🇦🇺🇦🇹🇧🇦🇧🇷🇧🇬🇨🇦🇨🇴🇨🇾🇨🇿🇬🇪🇩🇪🇬🇹🇭🇳🇭🇺🇮🇹🇱🇹🇲🇩🇳🇱🇲🇰🇵🇾🇸🇮🇺🇦🇺🇾  Thank you for resolutely standing with 🇮🇱 and supporting our right to self defense against terrorist attacks.,en,[],[],[],34430,12120,62359,[],[],https://twitter.com/netanyahu/status/1393691936192712707,False,,0,,,,,,,,[],,,,
1393685185405800448,1393685179672186881,2021-05-16 00:50:16 Jerusalem Daylight Time,2021-05-16,00:50:16,+0300,17061263,netanyahu,Benjamin Netanyahu,,"בשעת מלחמה, כמו בשעת מגיפה אנחנו משנים את ההתנהגות שלנו. אני מבקש מכם לשלול מהאויב את הדבר היחיד שהוא רוצה וזה לפגוע בכם, הישמעו להוראות פיקוד העורף.  צפויים לנו ימים, עוד ימים לא קלים אבל נעמוד בהם יחד מאוחדים ומחוזקים. נעמוד וננצח.",iw,[],[],[],277,191,1631,[],[],https://twitter.com/netanyahu/status/1393685185405800448,False,,0,,,,,,,,[],,,,
1393685184025964550,1393685179672186881,2021-05-16 00:50:15 Jerusalem Daylight Time,2021-05-16,00:50:15,+0300,17061263,netanyahu,Benjamin Netanyahu,,"אני מבקש מכם אזרחי ישראל להמשיך ולהישמע להנחיות פיקוד העורף - תישארו ליד מרחבים מוגנים, זה מציל חיים.   זה דרוש בימים הקרובים, כל עוד נמשך המבצע הישארו ליד מרחבים מוגנים. אני יודע שיש כאלה שאומרים, אנחנו לא ניתן לטרור להרוס לנו את השגרה - זה לא נכון.",iw,[],[],[],250,161,1542,[],[],https://twitter.com/netanyahu/status/1393685184025964550,False,,0,,,,,,,,[],,,,
1393685182536880132,1393685179672186881,2021-05-16 00:50:15 Jerusalem Daylight Time,2021-05-16,00:50:15,+0300,17061263,netanyahu,Benjamin Netanyahu,,"אני משתתף בצער המשפחות שאיבדו את יקיריהן. אני יודע שעולמם חרב עליהן באבחה. אנחנו מחבקים אתכם.   אני מאחל החלמה לפצועים ואני מבקש להודות לשר הביטחון, לרמטכ""ל, לראש השב""כ, לשר הבט""פ, למפכ""ל, לחיילים ולחיילות, לשוטרים ולשוטרות, ללוחמים וללוחמות - שמבטיחים את ביטחון ישראל.",iw,[],[],[],74,85,612,[],[],https://twitter.com/netanyahu/status/1393685182536880132,False,,0,,,,,,,,[],,,,
1393685180964085770,1393685179672186881,2021-05-16 00:50:15 Jerusalem Daylight Time,2021-05-16,00:50:15,+0300,17061263,netanyahu,Benjamin Netanyahu,,"צריך לזכור ולהגיד את זה גם לעצמנו - אנחנו צודקים ואנחנו לא יכולים להשלים עם הטרור הזה, עם הפראות הזאת, עם האלימות הזאת.   כולנו צריכים להתייצב מול הפורעים והטרוריסטים מאוחדים, כתף אל כתף",iw,[],[],[],90,97,700,[],[],https://twitter.com/netanyahu/status/1393685180964085770,False,,0,,,,,,,,[],,,,
1393685179672186881,1393685179672186881,2021-05-16 00:50:14 Jerusalem Daylight Time,2021-05-16,00:50:14,+0300,17061263,netanyahu,Benjamin Netanyahu,,"אזרחי ישראל, החוסן שלכם הוא זה שמאפשר לנו לנהל את המבצע הזה בנחישות, בתקיפות ובאחריות.   יש בנו אמונה גדולה בצדקת דרכנו.   מי שאשם בעימות הזה זה לא אנחנו - זה אלה שתוקפים אותנו ואסור לנו לשכוח את זה לרגע",iw,[],[],[],1090,585,4458,[],[],https://twitter.com/netanyahu/status/1393685179672186881,False,,0,,,,,,,,[],,,,
1393683321733910531,1393683321733910531,2021-05-16 00:42:51 Jerusalem Daylight Time,2021-05-16,00:42:51,+0300,17061263,netanyahu,Benjamin Netanyahu,,אני אומר לראשי הטרור: אתם לא יכולים להתחבא. לא מעל הקרקע ולא מתחת לקרקע. אף אחד אינו חסין.   אנחנו מקריסים את מגדלי הטרור. אלה מגדלים שמשמשים כמפקדות ומשרדים לארגוני הטרור.  המבצע הזה יימשך ככל שנדרש עד שנשיג את היעדים שלנו ונביא שקט וביטחון לכל אזרחי ישראל.  https://t.co/vphegYYY2P,iw,[],[],[],1456,1067,5598,[],[],https://twitter.com/netanyahu/status/1393683321733910531,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1393683247817707523/pu/img/AZiApu2jZsD8SQIL.jpg,,,,,,,[],,,,
1393616093353291776,1393616093353291776,2021-05-15 20:15:43 Jerusalem Daylight Time,2021-05-15,20:15:43,+0300,17061263,netanyahu,Benjamin Netanyahu,,שוחחתי בטלפון עם נשיא ארה״ב ג’ו ביידן ועדכנתי אותו בהתפתחויות ובפעולות שישראל נקטה ומתכוונת לבצע. הודיתי לו על התמיכה הבלתי מסויגת של ארה״ב בזכות שלנו להגן על עצמנו.,iw,[],[],[],3082,1422,10401,[],[],https://twitter.com/netanyahu/status/1393616093353291776,False,,0,,,,,,,,[],,,,
1393237958577344513,1393237958577344513,2021-05-14 19:13:09 Jerusalem Daylight Time,2021-05-14,19:13:09,+0300,17061263,netanyahu,Benjamin Netanyahu,,"בחמ""ל המבצעים המיוחדים של שירות הביטחון הכללי ממנו נוהלו שורה של סיכולים ממוקדים של בכירי ארגון הטרור חמאס. מצדיע לשב״כ! 🇮🇱  https://t.co/cy5AG6ppvL",iw,[],[],['https://pbs.twimg.com/media/E1XGiGPXoAMycbl.jpg'],8051,966,7659,[],[],https://twitter.com/netanyahu/status/1393237958577344513,False,,1,https://pbs.twimg.com/media/E1XGiGPXoAMycbl.jpg,,,,,,,[],,,,
1393234440978112512,1393234440978112512,2021-05-14 18:59:10 Jerusalem Daylight Time,2021-05-14,18:59:10,+0300,17061263,netanyahu,Benjamin Netanyahu,,"בהערכת מצב בלוד. מה שקורה בערי ישראל זה דבר חמור מאוד, קבוצות של פורעים יוצאים מהציבור הערבי ופוגעים ביהודים באשר הם יהודים.   נפעיל את כל הכוח ואנחנו מוסיפים הרבה כוח בחתירה למגע, בטיפול בפושעים - מבחינתנו זה טרור - כך אנחנו מתייחסים לזה.   נעשה כל מה שצריך כדי להחזיר את השקט.  https://t.co/mVF83c7pf2",iw,[],[],[],2873,494,3473,[],[],https://twitter.com/netanyahu/status/1393234440978112512,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1393234265605906433/pu/img/47_CNKRAJ4ZI0EjE.jpg,,,,,,,[],,,,
1393223459333869569,1393223459333869569,2021-05-14 18:15:32 Jerusalem Daylight Time,2021-05-14,18:15:32,+0300,17061263,netanyahu,Benjamin Netanyahu,,ממשיכים בכל העוצמה. מלא גאווה בלוחמים שלנו. כל הכבוד לצה״ל. שבת שלום! 🇮🇱  https://t.co/QQcoyezA70,iw,[],[],[],2956,1382,7414,[],[],https://twitter.com/netanyahu/status/1393223459333869569,False,,1,https://pbs.twimg.com/media/E1W5U2DWUAIoJVL.jpg,,,,,,,[],,,,
1393221007775838210,1393221007775838210,2021-05-14 18:05:47 Jerusalem Daylight Time,2021-05-14,18:05:47,+0300,17061263,netanyahu,Benjamin Netanyahu,,"בתא השליטה של חיל האוויר בבור בקריה בזמן מבצע התקיפות הנרחב שביצע צה""ל נגד מנהרות חמאס. ממשיכים בכל העוצמה למען ביטחון ישראל.  https://t.co/9KNkwEOXqE",iw,[],[],['https://pbs.twimg.com/media/E1W3HojXIAIuamP.jpg'],1506,777,6219,[],[],https://twitter.com/netanyahu/status/1393221007775838210,False,,1,https://pbs.twimg.com/media/E1W3HojXIAIuamP.jpg,,,,,,,[],,,,
1393212958482866184,1393212826089623556,2021-05-14 17:33:48 Jerusalem Daylight Time,2021-05-14,17:33:48,+0300,17061263,netanyahu,Benjamin Netanyahu,,זה לא יעזור להם אנחנו נמשיך לפעול.,iw,[],[],[],279,159,1466,[],[],https://twitter.com/netanyahu/status/1393212958482866184,False,,0,,,,,,,,[],,,,
1393212956666650629,1393212826089623556,2021-05-14 17:33:48 Jerusalem Daylight Time,2021-05-14,17:33:48,+0300,17061263,netanyahu,Benjamin Netanyahu,,"אני רוצה לומר מילת הערכה לידידי הנשיא ביידן, לידידים אחרים - נשיא צרפת, ראש ממשלת בריטניה, קנצלר אוסטריה, ראש ממשלת גרמניה ואחרים. הם עמדו על זכותנו הטבעית והמובנת מאליה להגן על עצמנו, לנהוג בהגנה עצמית מול הטרוריסטים הללו שגם תוקפים אזרחים וגם מתחבאים מאחורי אזרחים.",iw,[],[],[],408,214,1807,[],[],https://twitter.com/netanyahu/status/1393212956666650629,False,,0,,,,,,,,[],,,,
1393212954892546052,1393212826089623556,2021-05-14 17:33:47 Jerusalem Daylight Time,2021-05-14,17:33:47,+0300,17061263,netanyahu,Benjamin Netanyahu,,"הם תקפו אותנו ביום חגנו, הם תקפו את בירתנו, הם שיגרו טילים לערינו, הם משלמים וישלמו על כך מחיר כבד. זה עוד לא נגמר. אנחנו נעשה הכל כדי להשיב את הביטחון לערינו ולאזרחינו.",iw,[],[],[],95,90,526,[],[],https://twitter.com/netanyahu/status/1393212954892546052,False,,0,,,,,,,,[],,,,
1393212952581451777,1393212826089623556,2021-05-14 17:33:47 Jerusalem Daylight Time,2021-05-14,17:33:47,+0300,17061263,netanyahu,Benjamin Netanyahu,,"הבכירים שלו חושבים שהם יכולים להימלט מנחת זרוענו - הם לא יכולים להימלט. אנחנו מגיעים אליהם בכל מקום, לכל האנשים האלה ואנחנו נמשיך לעשות זאת.",iw,[],[],[],64,79,431,[],[],https://twitter.com/netanyahu/status/1393212952581451777,False,,0,,,,,,,,[],,,,
1393212826089623556,1393212826089623556,2021-05-14 17:33:17 Jerusalem Daylight Time,2021-05-14,17:33:17,+0300,17061263,netanyahu,Benjamin Netanyahu,,"אמרתי שאנחנו ניתן מכות קשות מאוד לחמאס וגם לארגוני טרור אחרים - ואנחנו עושים זאת. ביממה האחרונה תקפנו מטרות בתת קרקע, חמאס חשב שהוא יוכל להסתתר שם והוא לא יכול להסתתר שם.  https://t.co/TVZnwScPbn",iw,[],[],[],1493,641,4208,[],[],https://twitter.com/netanyahu/status/1393212826089623556,False,,1,https://pbs.twimg.com/media/E1Wvoh3XMAERqx1.jpg,,,,,,,[],,,,
1393136506672451584,1393136506672451584,2021-05-14 12:30:01 Jerusalem Daylight Time,2021-05-14,12:30:01,+0300,17061263,netanyahu,Benjamin Netanyahu,,Thank you Chancellor @sebastiankurz and the people of Austria for standing with Israel 🇦🇹🇮🇱,en,"[{'screen_name': 'sebastiankurz', 'name': 'sebastian kurz', 'id': '46623193'}]",[],[],2983,1364,8908,[],[],https://twitter.com/netanyahu/status/1393136506672451584,False,https://twitter.com/sebastiankurz/status/1393106844449705985,0,,,,,,,,[],,,,
